-0.133630621,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BSB,SBL,BK3,BKB,PEL,BOX,BKG,CSP,CSL,CKT,CQT,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,EVL,EDV,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,KTE,LAX,MPN,POL,ROW,RU7,RUG,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,TOW,VBV,VVO,WLF,WRF,WRG
BAR,0.257826235,0.288980832,-0.08304548,0.198135064,0.31203058,0.106698103,0.212886578,0.292003263,-0.092847669,0.415227399,-0.049629167,0.190252957,-0.034482759,0.138336002,-0.034482759,0.17864905,0.240205898,-0.034482759,-0.034482759,-0.049629167,-0.08304548,0.307940881,0.247593784,0.347106774,0.104351771,0.072835704,0.048598691,-0.034482759,-0.034482759,0.196192055,0.198919965,0.274290193,-0.08304548,0.116702861,0.290051588,0.336601385,0.205517042,0.252130514,-0.034482759,-0.049629167,0.137931034,-0.08304548,0.205613825,-0.061898446,-0.072835704,0.221765404,0.230513688,-0.049629167,-0.046915106,-0.049629167,0.242212665,0.336601385,0.111978502,0.274806844,-0.08304548,0.307940881,0.173702083,0.292784302,-3.96E-17,0.076767627
BDI,0.228354052,0.171258894,0.239045722,0.285165065,0.168408267,0.1535648,0.291376702,0.42026448,-0.133630621,0.239045722,-0.071428571,0.273820776,-0.049629167,0.235520158,-0.049629167,0.257119901,0.345715338,-0.049629167,-0.049629167,-0.071428571,0.239045722,0.44320263,0.356348323,0.242649247,0.150187852,0.104828484,0.069945464,-0.049629167,-0.049629167,0.282368598,0.286294731,0.394771017,0.239045722,0.167964107,0.417455539,0.168505093,0.295789547,0.362877792,-0.049629167,-0.071428571,0.012407292,-0.119522861,0.295928841,0.356348323,-0.104828484,0.240689295,0.236064173,-0.071428571,-0.06752237,-0.071428571,0.34860357,0.484452142,0.216107068,0.125845556,-0.119522861,0.44320263,0.25,0.271605914,0.246265914,0.110487488
BEL,-0.118043587,0.017240803,-0.00221651,-0.217753046,0.022902539,0.593897103,-0.142718744,-0.180577645,-0.183381916,-0.068711824,0.113917178,-0.436700459,0.31384135,-0.186502752,0.120566618,-0.423972479,-0.070522895,0.31384135,0.31384135,0.113917178,-0.00221651,-0.034370534,-0.101603494,-0.109849206,-0.288266355,-0.035964153,0.226995059,0.838444192,0.31384135,-0.062434343,-0.162277999,0.065888037,0.157372241,-0.539604477,-0.079492704,-0.04023269,-0.188900557,-0.143446214,0.03773459,-0.064906299,-0.240673059,0.649437558,-0.20061319,0.10077745,0.750387186,0.496709965,0.448776389,0.113917178,0.126470098,0.113917178,-0.078571377,-0.133978763,0.274828418,-0.005667709,0.516446932,-0.034370534,-0.309298383,-0.189288834,-0.261836566,-0.261181186
BER,0.085632769,0.171258894,0.239045722,0.24742263,0.168408267,0.101213163,0.201260196,-0.174449407,0.200445931,0.239045722,0.464285714,-0.042126273,-0.049629167,0.199099515,-0.049629167,0.176769932,0.079780463,-0.049629167,-0.049629167,0.464285714,0.239045722,0.141019019,0.133630621,0.157008336,0.150187852,0.104828484,0.069945464,-0.049629167,-0.049629167,0.282368598,0.099580776,0.148039131,0.239045722,0.167964107,0.112000267,0.168505093,0.295789547,0.212276337,0.694808334,-0.071428571,0.198516667,-0.119522861,0.295928841,0.356348323,-0.104828484,0.083718016,0.04466079,0.464285714,0.270089482,0.464285714,0.147486126,-0.147441956,-0.278375206,0.260680081,-0.119522861,0.141019019,0.25,0.211692845,0.246265914,0.110487488
BLR,0.632009991,0.649474972,0.429521112,0.57422578,0.68979471,0.319622934,0.615654689,0.73169776,-0.263346014,0.861813328,0.033121027,0.437066899,-0.097804254,0.390676832,-0.097804254,0.489319489,0.681301602,-0.097804254,-0.097804254,0.033121027,0.429521112,0.873419918,0.702256037,0.73432644,0.295975368,0.20658561,0.137841604,-0.097804254,-0.097804254,0.598765455,0.564201346,0.777975684,0.030482143,0.331007053,0.822680097,0.73495607,0.58291279,0.722106976,0.143829786,-0.140764365,0.26177021,-0.235543836,0.583187298,0.15490942,-0.20658561,0.554392032,0.531776435,0.033121027,-0.023482308,0.033121027,0.708753417,0.852158367,0.363464973,0.635640449,-0.235543836,0.873419918,0.492675279,0.71652741,0.390156411,0.129587904
BOH,-0.199809795,-0.440380014,-0.119522861,-0.356456331,-0.112272178,0.258268072,-0.339438839,-0.174449407,-0.133630621,-0.119522861,-0.071428571,-0.358073322,0.694808334,-0.492892702,-0.049629167,-0.385679852,-0.186154413,0.694808334,0.694808334,-0.071428571,-0.119522861,-0.161164593,-0.534522484,-0.099914396,-0.600751409,-0.681385144,-0.139890928,-0.049629167,0.694808334,-0.304089259,-0.273847134,-0.098692754,0.239045722,-0.660806158,-0.193455006,-0.147441956,-0.258815853,-0.239528029,-0.049629167,0.464285714,-0.545920834,0.597614305,-0.328809824,-0.089087081,0.681385144,0.122960835,0.068586213,-0.071428571,-0.06752237,-0.071428571,-0.187709614,-0.147441956,0.271049542,-0.143823493,0.597614305,-0.161164593,-0.285714286,-0.417394383,-0.451487509,-0.474446272
BOT,0.433674786,0.486078154,0.698430296,0.399435905,0.52484882,0.271245619,0.419520396,-0.030118425,-0.156173762,0.06984303,0.855653468,-0.233856117,-0.058001479,0.317816512,0.812020707,-0.106425442,0.559435324,-0.058001479,-0.058001479,0.855653468,0.698430296,0.51796977,0.416463365,0.533804327,0.175524155,0.122512778,0.081745083,-0.058001479,-0.058001479,0.558467379,0.334591914,0.461367869,0.488901207,0.196299218,0.487879211,0.566177968,0.34568848,0.461810239,0.377009614,-0.083478387,0.232005916,-0.139686059,0.345851273,0.676752968,-0.122512778,0.281292958,0.27588759,0.855653468,0.907502032,0.855653468,0.524934811,0.012308217,-0.164808563,0.698608041,-0.139686059,0.51796977,-0.020869597,0.299920069,0.359762922,-0.070259976
BRA,0.82880842,0.800273378,0.844048897,0.788616925,0.82504267,0.436005717,0.818365066,0.591946187,-0.21556036,0.599831703,0.569708082,0.290692732,-0.151218982,0.618401925,0.382495072,0.429163109,0.8245971,-0.151218982,-0.151218982,0.569708082,0.844048897,0.927968376,0.842282149,0.842190344,0.423970627,0.319410089,0.213122293,-0.071161874,-0.151218982,0.84401998,0.751858,0.857921225,0.407028656,0.474944082,0.938015241,0.864527737,0.752158038,0.876626618,0.409180774,-0.21764129,0.478118839,-0.325622925,0.762604679,0.686599666,-0.277135224,0.632090472,0.595780775,0.569708082,0.53250141,0.569708082,0.872339447,0.604036847,0.179882091,0.88128744,-0.325622925,0.927968376,0.492893509,0.807174187,0.651789231,0.174150921
BRN,0.454980687,0.509958568,0.732743305,0.407490561,0.550633988,0.268524308,0.43552703,0.059550277,-0.163846384,-0.036637165,0.733478951,-0.148498396,-0.060851019,0.333430441,0.851914272,-0.095234286,0.586919684,-0.060851019,-0.060851019,0.733478951,0.732743305,0.543416979,0.436923691,0.533778087,0.184147438,0.128531678,0.085761117,-0.060851019,-0.060851019,0.545956173,0.351029997,0.484034297,0.62283181,0.205943154,0.511848109,0.593993586,0.362671724,0.477903595,0.167340303,-0.087579576,0.243404078,-0.146548661,0.362842515,0.846539651,-0.128531678,0.29511253,0.289441604,0.733478951,0.848598815,0.733478951,0.530174793,0.109759684,-0.088698226,0.691599156,-0.146548661,0.543416979,-0.021894894,0.3238373,0.39001888,-0.088653334
BUL,0.18286387,0.084395435,-0.12498336,0.533178872,0.018892183,0.070222521,0.407695503,0.244750618,0.464179323,0.107744275,-0.03090697,0.574179994,-0.137794196,0.432850605,-0.012526745,0.522667461,0.151188375,-0.137794196,-0.137794196,-0.03090697,-0.12498336,0.017433882,0.231821969,0.09006816,0.385402607,0.291053781,0.19420191,-0.137794196,-0.137794196,0.29213601,0.458262667,0.105574063,-0.193939696,0.471129756,0.120054195,-0.03721537,0.537947124,0.371388125,-0.030422095,-0.198319722,0.484069221,-0.331852369,0.528394336,-0.076024757,-0.291053781,0.162633281,0.094092473,-0.03090697,-0.025158882,-0.03090697,0.241086025,0.099494152,0.012943337,-0.039543299,-0.331852369,0.017433882,0.610412652,0.385046974,0.418341422,0.597361502
BUR,0.257826235,0.288980832,0.415227399,0.25058258,0.31203058,0.179446809,0.254629044,-0.121208902,-0.092847669,0.415227399,0.694808334,-0.248792328,-0.034482759,0.188946735,-0.034482759,0.104211946,0.240205898,-0.034482759,-0.034482759,0.694808334,0.415227399,0.307940881,0.247593784,0.347106774,0.104351771,0.072835704,0.048598691,-0.034482759,-0.034482759,0.377292413,0.198919965,0.274290193,0.415227399,0.116702861,0.290051588,0.336601385,0.205517042,0.282027413,1,-0.049629167,0.137931034,-0.08304548,0.205613825,0.557086015,-0.072835704,0.167232928,0.164019355,0.694808334,0.422235952,0.694808334,0.335371383,-0.1024439,-0.193417413,0.462175147,-0.08304548,0.307940881,0.173702083,0.251156202,0.228143479,-0.058704656
CAN,0.710707063,0.470018292,0.483085594,0.549559527,0.481413933,0.285109364,0.567671848,0.51895377,-0.301213025,0.30657355,0.380305231,0.236570536,-0.189017853,0.463882503,0.293170548,0.290199725,0.493329205,-0.189017853,-0.189017853,0.380305231,0.483085594,0.505768682,0.57819052,0.511447094,0.348262209,0.236290937,0.092422612,-0.054005101,-0.189017853,0.501417235,0.621141163,0.461541741,0.204382367,0.242038052,0.656070734,0.445309245,0.602069498,0.608921529,0.23530794,-0.022207605,0.264239244,-0.176512044,0.598892147,0.433931408,-0.164996258,0.366635435,0.413088516,0.380305231,0.372628264,0.380305231,0.526978105,0.355265096,0.199574358,0.475802506,-0.167221937,0.505768682,0.285922911,0.459319668,0.485979291,0.231365937
CHI,0.197457579,0.29232845,0.045098762,0.113928805,0.282419401,-0.052675981,0.215352703,0.119679687,-0.168073161,0.225493808,0.134758326,0.079476124,-0.093631208,0.21071615,0.280893623,0.067373148,0.183962951,-0.093631208,-0.093631208,0.134758326,0.045098762,0.228041842,0.252109742,0.253128777,0.283346889,0.197771153,0.13196027,-0.093631208,-0.093631208,0.22128422,0.211354583,0.248260512,-0.045098762,0.316883865,0.211301557,0.278166436,0.069755182,0.127180746,-0.093631208,-0.134758326,0.327709227,-0.225493808,0.153016721,0.056024387,-0.197771153,0.118457846,0.102313025,0.134758326,0.212314704,0.134758326,0.219227089,0.119214187,-0.138207177,0.271339783,-0.225493808,0.228041842,-0.134758326,0.244904808,0.216817697,0.110354572
CHN,0.913514248,0.794178536,0.822634174,0.773801325,0.838161438,0.442589121,0.805872287,0.696050958,-0.280458832,0.612381699,0.503876475,0.305077599,-0.129001995,0.564141207,0.355420903,0.425103033,0.871050253,-0.129001995,-0.129001995,0.503876475,0.822634174,0.905687007,0.835483834,0.874152228,0.390386014,0.272482583,0.181810515,-0.129001995,-0.129001995,0.795472646,0.744171099,0.825001634,0.330335697,0.436592156,0.960597432,0.888723957,0.768851145,0.911234878,0.344774246,-0.185665584,0.449466374,-0.310677945,0.769213217,0.564739931,-0.272482583,0.644990688,0.605051593,0.503876475,0.478735274,0.503876475,0.931059562,0.717018964,0.263729267,0.885370316,-0.310677945,0.905687007,0.475528635,0.803135959,0.614295467,0.138356014
CIV,0.510399506,0.437468318,0.624716152,0.412998607,0.463277877,0.211222333,0.429699241,0.218134807,-0.183803656,0.032879797,0.491235932,0.028971515,-0.068262964,0.354005796,0.34131482,0.147357623,0.40236124,-0.068262964,-0.068262964,0.491235932,0.624716152,0.443351099,0.428875196,0.427991041,0.206577475,0.14418745,0.09620723,-0.068262964,-0.068262964,0.460089078,0.393787126,0.407243988,0.624716152,0.231028013,0.490165312,0.49251575,0.406846871,0.451776368,0.34131482,-0.098247186,0.273051856,-0.164398987,0.407038465,0.857750392,-0.14418745,0.266286301,0.272043409,0.491235932,0.464371805,0.491235932,0.405722713,0.144857574,0.040304645,0.544014761,-0.164398987,0.443351099,0.196494373,0.398305657,0.406474877,-0.008939482
CMR,0.51621367,0.472965603,0.223606798,0.486421899,0.490098029,0.091411547,0.45145337,0.563721288,-0.041666667,0.447213595,-0.133630621,0.512271764,-0.092847669,0.327056563,-0.092847669,0.397515606,0.31509511,-0.092847669,-0.092847669,-0.133630621,0.223606798,0.452267017,0.458333333,0.453955173,0.280975743,0.196116135,0.130855981,-0.092847669,-0.092847669,0.365720729,0.41917179,0.430820218,-0.223606798,0.314232071,0.495260557,0.512271764,0.380442955,0.410549306,-0.092847669,-0.133630621,0.371390676,-0.223606798,0.410097902,-0.166666667,-0.196116135,0.32792745,0.322274648,-0.133630621,-0.126322788,-0.133630621,0.317727529,0.512271764,0.267248692,0.403603676,-0.223606798,0.452267017,0.467707173,0.5454905,0.281551929,0.176305639
COL,0.661099069,0.6867504,0.867457026,0.59573558,0.730954022,0.316998084,0.624539798,0.465053149,-0.128362029,0.178594094,0.369744548,0.251784588,-0.100641861,0.473718797,0.217174543,0.347033358,0.701068292,-0.100641861,-0.100641861,0.369744548,0.867457026,0.705247521,0.615662323,0.652021433,0.304562539,0.212579304,0.141840819,-0.100641861,-0.100641861,0.614337456,0.520786434,0.642544456,0.408215071,0.340610603,0.699842504,0.780082608,0.555429976,0.671576639,0.296628644,-0.14484838,0.402567446,-0.242377699,0.526409987,0.627547696,-0.212579304,0.442015947,0.419977081,0.369744548,0.331507676,0.369744548,0.656839473,0.510313406,0.174357203,0.758882276,-0.242377699,0.705247521,0.392615345,0.669082554,0.534442468,0.036764454
CPV,0.257826235,0.288980832,0.415227399,0.25058258,0.31203058,0.179446809,0.254629044,-0.121208902,-0.092847669,-0.08304548,0.694808334,-0.248792328,-0.034482759,0.188946735,1,-0.267973575,0.424979665,-0.034482759,-0.034482759,0.694808334,0.415227399,0.307940881,0.247593784,0.347106774,0.104351771,0.072835704,0.048598691,-0.034482759,-0.034482759,0.377292413,0.198919965,0.274290193,0.415227399,0.116702861,0.290051588,0.336601385,0.205517042,0.282027413,-0.034482759,-0.049629167,0.137931034,-0.08304548,0.205613825,0.557086015,-0.072835704,0.167232928,0.164019355,0.694808334,0.891387009,0.694808334,0.335371383,-0.1024439,-0.193417413,0.462175147,-0.08304548,0.307940881,-0.198516667,0.084643803,0.228143479,-0.058704656
CRC,0.350275789,0.200149828,-0.139686059,0.325920094,0.196818308,0.179470785,0.305424891,0.491162014,0.03904344,0.488901207,-0.083478387,0.320013634,-0.058001479,0.232687089,-0.058001479,0.300495365,0.248637922,-0.058001479,-0.058001479,-0.083478387,-0.139686059,0.341389167,0.351390964,0.333627704,0.175524155,0.122512778,0.081745083,-0.058001479,-0.058001479,0.253848809,0.334591914,0.31719041,-0.139686059,0.196299218,0.398633014,0.196931467,0.34568848,0.336090574,-0.058001479,-0.083478387,0.123253143,-0.139686059,0.345851273,-0.104115841,-0.122512778,0.281292958,0.30384917,-0.083478387,-0.07891322,-0.083478387,0.407412092,0.381554717,0.188352644,0.147075377,-0.139686059,0.341389167,0.292174355,0.317425131,0.095936779,0.243061538
CRO,0.761515025,0.773732646,0.886917174,0.651267005,0.828154608,0.394948919,0.700020372,0.496994995,-0.283315299,0.443458587,0.55842909,0.161880708,-0.10522066,0.489683037,0.355119729,0.308528188,0.815187607,-0.10522066,-0.10522066,0.55842909,0.886917174,0.85956669,0.725995453,0.813284582,0.318418907,0.222250806,0.148294005,-0.10522066,-0.10522066,0.73681264,0.606984213,0.771580669,0.538485427,0.356107012,0.844587719,0.887552848,0.627114528,0.797859392,0.420882642,-0.151438397,0.388001185,-0.253404907,0.627409852,0.79485681,-0.222250806,0.551894502,0.517396917,0.55842909,0.512978225,0.55842909,0.827920157,0.608448178,0.176669834,0.898101151,-0.253404907,0.85956669,0.364398643,0.713451178,0.572879048,-0.006889667
CUB,0.630527786,0.550769109,0.331076883,0.714201396,0.574545614,0.353767156,0.682863251,0.673086855,-0.178803787,0.718268493,0.097251393,0.561690717,-0.10718171,0.487267604,0.015145242,0.581067111,0.743503347,-0.10718171,-0.10718171,0.097251393,0.331076883,0.680512823,0.641497798,0.663758924,0.386051102,0.254076931,0.180612627,-0.142132268,-0.10718171,0.609817798,0.657743985,0.64985132,-0.005611473,0.449902113,0.711542879,0.58641302,0.749464468,0.830153421,0.119996914,-0.166836441,0.411251561,-0.325465411,0.737129899,0.110837435,-0.281760858,0.567707661,0.462077252,0.097251393,0.068157242,0.097251393,0.708798417,0.823747126,0.297759291,0.524996123,-0.300213784,0.680512823,0.621654376,0.728623358,0.511615208,0.330154564
CYP,0.371075334,0.415914458,0.597614305,0.3229075,0.449088713,0.205916436,0.351454373,0.122907537,-0.133630621,-0.119522861,0.464285714,-0.042126273,-0.049629167,0.271940801,0.694808334,-0.064279975,0.478682775,-0.049629167,-0.049629167,0.464285714,0.597614305,0.44320263,0.356348323,0.413931068,0.150187852,0.104828484,0.069945464,-0.049629167,-0.049629167,0.412692566,0.286294731,0.394771017,0.239045722,0.167964107,0.417455539,0.484452142,0.295789547,0.384392286,-0.049629167,-0.071428571,0.198516667,-0.119522861,0.295928841,0.356348323,-0.104828484,0.240689295,0.236064173,0.464285714,0.607701334,0.464285714,0.415642718,0.168505093,-0.003662832,0.530349131,-0.119522861,0.44320263,-0.017857143,0.271605914,0.287310233,-0.035745952
CZE,0.713769483,0.743614761,0.694722559,0.658129856,0.791930853,0.385436664,0.702400072,0.627977016,-0.291271288,0.738142719,0.363279122,0.290768315,-0.108175441,0.480280189,0.117190061,0.427463516,0.793800564,-0.108175441,-0.108175441,0.363279122,0.694722559,0.966037574,0.776723434,0.829641462,0.327360667,0.228491997,0.15245836,-0.108175441,-0.108175441,0.741722301,0.624029391,0.86047241,0.30394112,0.36610712,0.90991729,0.845523653,0.644725001,0.811797598,0.387628662,-0.155691052,0.308750737,-0.26052096,0.645028618,0.507027797,-0.228491997,0.581648762,0.563795551,0.363279122,0.282088876,0.363279122,0.824786186,0.749876181,0.261468847,0.813110624,-0.26052096,0.966037574,0.463829593,0.753437538,0.514413773,0.072602193
DEN,0.151949175,0.365904226,0.34085041,-0.000797277,0.281040928,0.045783572,0.15248107,0.045979923,-0.321802867,0.045446721,0.190117275,-0.158176412,-0.056612172,-0.019849354,0.084918257,-0.030891299,0.116285272,-0.056612172,-0.056612172,0.190117275,0.34085041,0.256611451,0.307688707,0.075981811,0.14752541,0.293963159,0.26595682,0.273625496,-0.056612172,0.173437864,0.101759639,0.215776771,0.113616803,-0.203362015,0.205188878,0.292326028,-0.049205365,0.081260168,0.179271877,-0.319125426,0.025947245,0.045446721,0.025004971,0.378259511,0.104630955,0.284502808,0.332960172,0.190117275,0.158325085,0.190117275,0.176734829,0.132147382,0.180359202,0.29735872,-6.05E-17,0.256611451,-0.139193005,0.119980033,8.32E-17,-0.04695365
